Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC,tradecount
1644105600000,2022-02-06,ETHBTC,0.072797,0.073041,0.07155,0.072097,32192.809,2325.18105262,88628
1644019200000,2022-02-05,ETHBTC,0.07203,0.073172,0.071417,0.072806,53047.7898,3847.12974705,130431
1643932800000,2022-02-04,ETHBTC,0.072245,0.075083,0.071599,0.072049,95363.0541,7014.73034325,224702
1643846400000,2022-02-03,ETHBTC,0.072626,0.0736,0.070839,0.07225,58868.7346,4229.50748633,145767
1643760000000,2022-02-02,ETHBTC,0.072031,0.073281,0.07086,0.072611,71100.4806,5114.36234379,170979
1643673600000,2022-02-01,ETHBTC,0.069852,0.072193,0.069721,0.07203,74060.2878,5287.20863841,153847
1643587200000,2022-01-31,ETHBTC,0.068674,0.070205,0.06722,0.069845,67949.1787,4680.54997941,154227
1643500800000,2022-01-30,ETHBTC,0.068163,0.06922,0.06762,0.068679,44864.5387,3071.76144067,113649
1643414400000,2022-01-29,ETHBTC,0.067484,0.0687,0.067034,0.068165,54390.8111,3690.50385989,126530
1643328000000,2022-01-28,ETHBTC,0.065245,0.06768,0.064465,0.067484,80929.3019,5328.19889217,174451
1643241600000,2022-01-27,ETHBTC,0.066918,0.068003,0.064715,0.065228,84365.6624,5612.90624784,180105
1643155200000,2022-01-26,ETHBTC,0.066535,0.069943,0.06558,0.066919,115408.2677,7805.27797902,236176
1643068800000,2022-01-25,ETHBTC,0.066544,0.067089,0.065609,0.066518,77601.7095,5148.99309519,155356
1642982400000,2022-01-24,ETHBTC,0.070056,0.070112,0.064675,0.066549,154668.4272,10330.13218985,285512
1642896000000,2022-01-23,ETHBTC,0.068779,0.070826,0.068286,0.070057,89935.6563,6245.09384186,173479
1642809600000,2022-01-22,ETHBTC,0.070449,0.07168,0.067343,0.068779,141960.1896,9839.97593939,313911
1642723200000,2022-01-21,ETHBTC,0.073789,0.074068,0.068803,0.070444,140558.0361,10145.1530261,292371
1642636800000,2022-01-20,ETHBTC,0.074034,0.075437,0.073662,0.073777,54209.2441,4051.17859618,123211
1642550400000,2022-01-19,ETHBTC,0.074606,0.074895,0.0738,0.074034,52915.9271,3932.77214628,119016
1642464000000,2022-01-18,ETHBTC,0.076053,0.076477,0.074436,0.074599,55318.6541,4167.84045461,122602
1642377600000,2022-01-17,ETHBTC,0.077702,0.077804,0.075502,0.076055,52301.6825,3997.79478373,131169
1642291200000,2022-01-16,ETHBTC,0.077204,0.078095,0.076785,0.077701,37033.3957,2864.96600518,97591
1642204800000,2022-01-15,ETHBTC,0.076809,0.077774,0.076608,0.077209,33506.8542,2584.55530804,83673
1642118400000,2022-01-14,ETHBTC,0.07615,0.077115,0.075948,0.076806,43701.8915,3343.32925633,107933
1642032000000,2022-01-13,ETHBTC,0.076789,0.07695,0.076102,0.076148,51056.2309,3907.96909819,114383
1641945600000,2022-01-12,ETHBTC,0.075829,0.077409,0.07545,0.076789,61044.2704,4667.97287793,126098
1641859200000,2022-01-11,ETHBTC,0.073714,0.076169,0.073308,0.075829,56898.3622,4250.26659487,120377
1641772800000,2022-01-10,ETHBTC,0.075287,0.075548,0.0729,0.07371,74183.035,5497.99299845,145675
1641686400000,2022-01-09,ETHBTC,0.073923,0.075555,0.07375,0.075293,58572.3557,4380.68392063,116279
1641600000000,2022-01-08,ETHBTC,0.07695,0.077093,0.07347,0.073922,68497.7347,5160.27045879,151094
1641513600000,2022-01-07,ETHBTC,0.079072,0.079192,0.07538,0.076943,101902.1115,7822.42538832,223461
1641427200000,2022-01-06,ETHBTC,0.081459,0.081462,0.077653,0.079072,88616.1561,7032.82982578,199317
1641340800000,2022-01-05,ETHBTC,0.082589,0.082591,0.080234,0.081486,63735.7787,5211.66244471,177136
1641254400000,2022-01-04,ETHBTC,0.08107,0.08292,0.08074,0.082585,60023.6114,4915.60480706,138840
