Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1660867200000,2022-08-19,ETHUSDC,1846.45,1848.18,1603.32,1609,89094.325,151814074.65016,115840
1660780800000,2022-08-18,ETHUSDC,1834.56,1882.72,1821.29,1846.47,32332.235,60098968.524525,61825
1660694400000,2022-08-17,ETHUSDC,1876.95,1957.53,1818.99,1834.11,55503.0131,103784057.774033,89027
1660608000000,2022-08-16,ETHUSDC,1898.94,1915,1852.07,1876.72,45916.3774,86457690.392736,74573
1660521600000,2022-08-15,ETHUSDC,1935.99,2013,1872.83,1899.95,50674.8379,97309138.017201,93077
1660435200000,2022-08-14,ETHUSDC,1984.38,2031.09,1905.01,1935.81,36600.0748,72211914.481639,64149
1660348800000,2022-08-13,ETHUSDC,1959.16,2021.32,1947.4,1984.21,67570.599,134562720.639147,82737
1660262400000,2022-08-12,ETHUSDC,1881.04,1965.65,1854.08,1959,53332.6493,101459807.732939,75894
1660176000000,2022-08-11,ETHUSDC,1854.21,1942.28,1851.03,1880.95,70445.5506,133421814.733724,102031
1660089600000,2022-08-10,ETHUSDC,1703.31,1893.43,1657.01,1854.21,74058.0961,131852842.170746,104002
1660003200000,2022-08-09,ETHUSDC,1777.02,1989,1668,1703.28,51357.6909,89369476.237184,71321
1659916800000,2022-08-08,ETHUSDC,1700.55,1819.02,1694.27,1777.16,50059.4966,88521043.124983,69225
1659830400000,2022-08-07,ETHUSDC,1691.01,1730,1670,1700.39,31497.496,53336176.592698,43658
1659744000000,2022-08-06,ETHUSDC,1737.14,1751.47,1685,1690.33,32453.6887,55857645.104523,47010
1659657600000,2022-08-05,ETHUSDC,1608.05,1741.87,1605.71,1736.57,58457.6108,98264637.281842,91572
1659571200000,2022-08-04,ETHUSDC,1618.5,1663,1580.63,1608.23,52963.4263,85730191.158811,85404
1659484800000,2022-08-03,ETHUSDC,1631.15,1684.6,1590.58,1618.62,63167.3453,103902476.711621,101581
1659398400000,2022-08-02,ETHUSDC,1631.12,1678.82,1558.45,1631.03,67027.4678,108220460.019034,99467
1659312000000,2022-08-01,ETHUSDC,1678.94,1705.17,1605.67,1630.73,41808.9321,69363224.353509,69702
1659225600000,2022-07-31,ETHUSDC,1697.54,1754.18,1667.01,1678.95,37343.0604,63682721.082007,63568
